method,path,command,domain,scope
POST,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/acl,,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/attach/{networkId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/available-tls-ciphers,,loadbalancer,admin-only
PUT,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/co-owners,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/configuration,,loadbalancer,admin-only
PUT,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/configuration,,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/configuration/rollback/{versionNumber},,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/detach/{networkId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/networks,,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/scale,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/sticky-name,,loadbalancer,admin-only
PUT,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/sticky-name,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/timeouts,,loadbalancer,admin-only
PUT,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/timeouts,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/tls-ciphers,,loadbalancer,admin-only
PUT,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/tls-ciphers,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/servers,,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/servers,,loadbalancer,admin-only
DELETE,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/servers/{serverId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/servers/{serverId},,loadbalancer,admin-only
PUT,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/servers/{serverId}/drain,,loadbalancer,admin-only
PUT,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/servers/{serverId}/loadbalancer-capacity,,loadbalancer,admin-only
PUT,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/servers/{serverId}/maintenance,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/servers,,loadbalancer,admin-only
GET,/v4/drains,,log,external
DELETE,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains,,log,internal
GET,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains,,log,internal
POST,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains,,log,internal
DELETE,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains/{drainId},,log,internal
GET,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains/{drainId},,log,internal
POST,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains/{drainId}/check,,log,internal
PUT,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains/{drainId}/disable,,log,internal
PUT,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains/{drainId}/enable,,log,internal
PATCH,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains/{drainId}/reset-cursor,,log,internal
GET,/v4/drains/organisations/{ownerId}/applications/{applicationId}/drains/{drainId}/test-command,,log,internal
DELETE,/v4/drains/organisations/{ownerId}/drains,,log,internal
GET,/v4/drains/organisations/{ownerId}/drains,,log,external
POST,/v4/drains/organisations/{ownerId}/drains,,log,external
DELETE,/v4/drains/organisations/{ownerId}/drains/{drainId},,log,external
GET,/v4/drains/organisations/{ownerId}/drains/{drainId},,log,external
POST,/v4/drains/organisations/{ownerId}/drains/{drainId}/check,,log,external
PUT,/v4/drains/organisations/{ownerId}/drains/{drainId}/disable,,log,external
PUT,/v4/drains/organisations/{ownerId}/drains/{drainId}/enable,,log,external
PATCH,/v4/drains/organisations/{ownerId}/drains/{drainId}/reset-cursor,,log,external
GET,/v4/drains/organisations/{ownerId}/drains/{drainId}/test-command,,log,external
DELETE,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains,,log,internal
GET,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains,ListLogDrainCommand,log,external
POST,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains,CreateLogDrainCommand,log,external
DELETE,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains/{drainId},DeleteLogDrainCommand,log,external
GET,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains/{drainId},GetLogDrainCommand,log,external
POST,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains/{drainId}/check,,log,external
