Source id,Endpoint id,Used,Namespace,Target,Action,Command name (without Command suffix),Comment
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/migrations/:XXX,true,Migration,,Get,GetMigration,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/addons/:XXX/migrations/:XXX,true,Migration,,Cancel,CancelMigration,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/migrations,true,Migration,,List,ListMigration,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/addons/:XXX/migrations,true,Migration,,Update,UpdateMigration,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX,true,Addon,,Get,GetAddon,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/addons/:XXX,true,Addon,,Update,UpdateAddon,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/addons/:XXX,true,Addon,,Delete,DeleteAddon,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/env,true,Environment,,Get,GetEnvironment,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/instances/:XXX,true,Instance,,Get,GetInstance,On voit si possible au niveau des payload de sortie entre apps et addons
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/instances,true,Instance,,List,ListInstance,On voit si possible au niveau des payload de sortie entre apps et addons
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons,true,Addon,,List,ListAddon,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/addons,true,Addon,,Create,CreateAddon,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/applications,true,Link,,List,ListLink,À fusionner
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/sso,true,Addon,Sso,Get,GetAddonSso,??
remote-cc-api-v2,[POST] /v2/organisations/:XXX/addons/preorders,false,,,,,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/migrations/preorders,true,Migration,Preorder,List,ListMigrationPreorder,??
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/applications/:XXX/dependencies/:XXX,true,Link,,Add,AddLink,À fusionner
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/applications/:XXX/dependencies/:XXX,true,Link,,Remove,RemoveLink,À fusionner
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/dependencies,true,Link,,List,ListLink,À fusionner
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/dependencies/env,true,Environment,,Get,GetEnvironment,Tenter juste EnvGet avec un param 'include links' et sinon un target WithLinks ou autre truc dans le genre
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/dependents,false,,,,,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/applications/:XXX/deployments/:XXX/instances,true,Deployment,,Cancel,CancelDeployment,Est-ce qu'on regroupe ?
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/deployments/:XXX,true,Deployment,,Get,GetDeployment,Used a a fallback of the v4 OrchestrationApplicationDeploymentGet
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/deployments,true,Deployment,,List,ListDeployment,Est-ce qu'on regroupe ?
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/applications/:XXX/tags/:XXX,false,,,,,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/applications/:XXX/tags/:XXX,false,,,,,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/tags,false,,,,,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/applications/:XXX/tags,false,,,,,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/applications/:XXX/vhosts/:XXX,true,Domain,,Create,CreateDomain,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/applications/:XXX/vhosts/:XXX,true,Domain,,Delete,DeleteDomain,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/vhosts/favourite,true,Domain,Primary,Get,GetPrimaryDomain,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/applications/:XXX/vhosts/favourite,true,Domain,Primary,Set,SetPrimaryDomain,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/applications/:XXX/vhosts/favourite,true,Domain,Primary,Delete,DeletePrimaryDomain,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/vhosts,true,Domain,,List,ListDomain,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications,true,Application,,List,ListApplication,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/applications,true,Application,,Create,CreateApplication,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/tcpRedirs,true,TcpRedirection,,List,ListTcpRedirection,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/applications/:XXX/tcpRedirs,true,TcpRedirection,,Create,CreateTcpRedirection,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/udpRedirs,false,,,,,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/applications/:XXX/udpRedirs,false,,,,,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX,true,Application,,Get,GetApplication,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/applications/:XXX,true,Application,,Update,UpdateApplication,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/applications/:XXX,true,Application,,Delete,DeleteApplication,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/applications/:XXX/env,true,Environment,,Get,GetEnvironment,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/applications/:XXX/env,true,Environment,,Update,UpdateEnvironment,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/applications/:XXX/env/:XXX,true,Environment,Variable,Update,UpdateEnvironmentVariable,On devrait arreter ça à terme coté CLI
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/applications/:XXX/env/:XXX,true,Environment,Variable,Delete,DeleteEnvironmentVariable,On devrait arreter ça à terme coté CLI
